scenario,threshold,crossed,crossing_year,crossing_t
aggressive,0.5,True,2024.0,30.0
brightman_harvey,0.5,True,2024.0,30.0
conservative,0.5,True,2024.0,30.0
haddad_baseline,0.5,True,2024.0,30.0
no_passive,0.5,False,,
aggressive,0.6,True,2028.0,34.0
brightman_harvey,0.6,True,2029.0,35.0
conservative,0.6,True,2030.0,36.0
haddad_baseline,0.6,True,2028.0,34.0
no_passive,0.6,False,,
aggressive,0.65,True,2029.0,35.0
brightman_harvey,0.65,True,2031.0,37.0
conservative,0.65,True,2032.0,38.0
haddad_baseline,0.65,True,2030.0,36.0
no_passive,0.65,False,,
aggressive,0.7,True,2031.0,37.0
brightman_harvey,0.7,True,2033.0,39.0
conservative,0.7,True,2035.0,41.0
haddad_baseline,0.7,True,2032.0,38.0
no_passive,0.7,False,,
aggressive,0.8,True,2035.0,41.0
brightman_harvey,0.8,True,2038.0,44.0
conservative,0.8,True,2042.0,48.0
haddad_baseline,0.8,True,2038.0,44.0
no_passive,0.8,False,,
aggressive,0.87,True,2039.0,45.0
brightman_harvey,0.87,True,2044.0,50.0
conservative,0.87,True,2048.0,54.0
haddad_baseline,0.87,True,2042.0,48.0
no_passive,0.87,False,,
aggressive,0.91,True,2042.0,48.0
brightman_harvey,0.91,True,2048.0,54.0
conservative,0.91,True,2054.0,60.0
haddad_baseline,0.91,True,2046.0,52.0
no_passive,0.91,False,,
